Feature,RandomForest,XGBoost,Permutation,SHAP,Average
energy_2,1.0,1.0,1.0,1.0,1.0
max_2,0.005416820431453122,0.049927253,0.002948134251938652,0.19183847,0.06253267026027255
meanfreq_2,0.004379067099198921,0.1440759,0.0012052914533115869,0.049760137,0.0498550989055174
std_3,0.005584086340423595,0.0774789,0.0014474999293303786,0.057497796,0.03550207062319363
zcr_3,0.006560255633684909,0.05493884,0.0005457700957756271,0.076310016,0.03458872088886376
std_2,0.02278496948769273,0.006815899,0.01602034404018363,0.014294206,0.014978854714034553
p2p_2,0.04537209546483576,6.977981e-07,0.008227267287906567,7.658632e-05,0.013419161718308946
rms_2,0.03731785932431667,0.0,0.01295498983488278,0.0,0.012568212289799863
p2p_0,0.010259193083164888,0.0024332046,0.00800494815560717,0.021914888,0.010653058492465114
skew_4,0.012825826585702131,0.009956391,0.0009043032607010655,0.0065241233,0.007552660923691888
min_2,0.017754462767810418,9.10382e-05,0.0022304918943687507,0.0030564412,0.005783108515889166
mean_4,0.0020768906031393797,0.005647141,0.00012782978833427992,0.007879881,0.003932935650123032
skew_2,0.007284341996582771,0.0005311046,1.2463984084663509e-05,0.0052384585,0.0032665922802537586
max_0,0.0021276517258173445,0.0006520038,8.715632686847207e-05,0.008068733,0.0027338861926227706
kurt_1,0.004713665899695959,0.0040217903,-0.0010390882038218228,0.003191095,0.0027218657796265586
rms_3,0.006417595944172703,0.0,0.0029326702581905506,0.0,0.0023375665505908135
skew_0,0.0017359073263734429,0.00029263156,0.00024185159888922214,0.0057485774,0.0020047419764669177
mean_2,0.005416625410261889,7.737788e-06,0.0005780664370699883,0.0007222834,0.0016811782541197747
min_3,0.0007344633071193718,0.0003380519,0.0005336788696721454,0.0049724993,0.0016446733527699146
kurt_3,0.004874739281837477,3.0058732e-06,0.0010165830431495542,0.00028507263,0.0015448502071648317
kurt_0,0.0030615963029808034,2.2318829e-05,0.0012770112762441133,0.00055087666,0.0012279507677055515
std_0,0.003540465420377227,1.00192565e-05,0.0001437178027555388,0.00029215778,0.0009965900657543303
peakfreq_3,0.0024353125656147367,4.0489468e-07,0.0004486870493144806,9.7178265e-05,0.0007453956935756721
meanfreq_3,0.0025049442974073434,5.707058e-08,0.0004413972544623556,1.682611e-05,0.0007408061832043004
mean_0,0.0015548142389023658,5.898546e-05,7.26307617434573e-05,0.0012235296,0.0007274900085067207
std_1,0.0011725202972350977,6.833142e-05,-5.569229448798224e-05,0.0015657174,0.0006877192043353488
skew_3,0.0014176360512749317,7.107618e-06,7.349221889249878e-05,0.0009147455,0.0006032453466229078
energy_1,0.001401817367426425,0.00017050447,7.60857084392643e-05,0.00069658615,0.0005862484250974925
min_0,0.0007610039818785356,7.726146e-05,-4.549574238455519e-05,0.0013871437,0.0005449783596061858
min_1,0.0004954465281573584,0.00026159507,0.00014957115812681439,0.0010319016,0.0004846285806230799
energy_3,0.001069993349949858,2.7473977e-06,0.0005656197276865532,0.00017272253,0.00045277075177039557
p2p_4,0.0008869289869304622,8.182878e-06,5.717620874542415e-05,0.0006213708,0.00039341471767542606
meanfreq_1,0.0006843276786935291,1.2622651e-07,0.0007521528870802163,0.00011019846,0.00038670131304072706
p2p_3,0.0009762167569808539,3.1735926e-06,0.00040531294611153754,0.00013282684,0.0003793825341444993
kurt_2,0.00038264293365560036,2.3841174e-05,9.458411928715878e-06,0.000987312,0.00035081364438532803
kurt_4,0.0005075847840386312,6.948476e-06,0.00021999278435925885,0.00062713935,0.00034041634866354526
max_3,0.000889226534364277,3.1054626e-07,0.0003169351939738348,3.6890506e-05,0.00031084069507981006
min_4,0.0006964477985114823,7.668131e-06,0.0001900249979336332,0.00031097038,0.0003012778275657437
meanfreq_4,0.0008947252185231411,9.7128265e-08,0.0001662077924070742,2.444441e-05,0.00027136863751944107
meanfreq_0,0.0010678645905252766,5.333161e-07,-4.9040256825138337e-05,5.6419947e-05,0.00026894439925273164
energy_4,0.0012361216350306303,2.1434749e-12,-0.00021033765249532527,7.838435e-08,0.00025646559225800256
skew_1,0.0008061942193032008,7.859006e-08,0.00013361159275781858,6.416692e-05,0.0002510128299263799
rms_4,0.0008845077165678237,2.111928e-12,0.00011559439558910412,1.7117786e-07,0.0002500683230320746
mean_3,0.0008788729189598125,5.1598224e-08,3.159205359728094e-05,2.6364483e-05,0.00023422026353203755
max_4,0.0006565882120616043,2.9808692e-08,0.00026247313311037715,1.5956954e-05,0.00023376202685993844
zcr_2,0.0005216059576015244,7.566929e-06,0.00017631919707588266,0.00019721853,0.00022567765276680174
mean_1,0.0008943106442592016,3.9677814e-10,-1.5981879869085104e-05,2.358329e-06,0.00022017187256306812
p2p_1,0.00041256527899327785,1.7566897e-06,0.00010441365658603223,0.00021857262,0.0001843270610458401
energy_0,0.00025221756842565176,0.00018719264,1.0406190959758052e-05,0.00016858903,0.00015460135663818267
rms_1,0.0004103011082763531,1.0612665e-06,-7.68009146251111e-05,0.00020588553,0.00013511174794532242
peakfreq_2,0.00032496263676545567,1.8516953e-08,7.518577200619986e-05,3.6113164e-05,0.00010907002249177094
std_4,0.00044181147647567653,1.8132364e-09,-2.7787424875303654e-05,1.4470988e-06,0.00010386824091895077
zcr_1,0.0002715576741995826,7.321322e-07,-1.3152048920771912e-05,2.1562677e-05,7.017510860163845e-05
max_1,0.0003309198959837138,6.7626154e-09,-7.576007677218563e-05,9.203948e-06,6.609263249140803e-05
rms_0,0.00012413537991735839,3.0309124e-08,1.4855584837175942e-05,3.2666838e-05,4.2922027918800654e-05
zcr_0,0.0,7.808613e-06,0.0,5.4952423e-05,1.5690259033362963e-05
zcr_4,0.0,1.6263122e-09,0.0,1.2802262e-06,3.204631353059817e-07
set_type,0.0,1.1882639e-12,0.0,5.104614e-08,1.2761832005872206e-08
peakfreq_1,0.0,0.0,0.0,0.0,0.0
peakfreq_0,0.0,0.0,0.0,0.0,0.0
peakfreq_4,0.0,0.0,0.0,0.0,0.0
exercise,0.0,0.0,0.0,0.0,0.0
