Term,Coefficient
std_3,-3097973383.7602983
rms_3,3097973181.7073584
std_2,1297770593.6560063
rms_2,-1297769529.724626
mean_1,-950.8126342041187
mean_0,-835.2654230752835
meanfreq_3,-679.7225843667984
mean_4,-635.744521945715
p2p_1,-571.8377637290063
min_0,531.2117646983
max_0,516.9364412643953
std_4,-465.94415426440537
energy_3,455.2638181447983
min_1,425.4936907385684
max_4,423.5557673573494
energy_1,-415.6637392711576
kurt_4,-415.25455951690674
skew_4,-379.1951422765851
p2p_4,369.8893090188503
std_1,366.6233432300821
max_1,365.24291844988585
min_4,363.78506000339985
rms_0,-343.6475696140653
rms_1,282.07567009451594
zcr_4,-257.46430554986
kurt_3,238.56582674384117
energy_0,216.19735135619786
skew_2,-184.21759564382063
meanfreq_1,167.5450882775993
energy_4,-130.900456905365
p2p_0,-125.27637185117305
peakfreq_3,117.96969485282898
std_0,110.01535082366308
min_3,-102.77680110931396
min_2,92.83886215270192
kurt_0,86.67731325417188
meanfreq_0,77.06841072050392
zcr_2,76.43295499430252
skew_3,-73.43407589197159
zcr_0,-52.708268786940494
set_type,-50.34091234207153
p2p_3,39.730505883693695
kurt_2,-38.94251415133476
max_2,-38.27732252103549
meanfreq_2,36.52134871482849
meanfreq_4,-32.51478661596775
p2p_2,-32.07832202166398
rms_4,31.606580913066864
peakfreq_2,-28.881586208939552
energy_2,20.512999301732833
skew_0,19.551706128899866
exercise,-18.637527093291283
max_3,-16.373641848564148
kurt_1,-12.068117263208961
peakfreq_0,-11.783476651045955
mean_3,-11.672326028347015
skew_1,-10.580391818423564
peakfreq_1,-5.993070258508055
mean_2,5.372463918172947
zcr_1,4.36711154451595
zcr_3,1.610011339187622
peakfreq_4,0.0
Intercept,1209.9999979116328
